year,date,text,url
2026,Jun. 2026,Kratos has been accepted to FAST'27. Congratulations to Ruidan and the team!,
2026,May 2026,Erci Xu was appointed as a Young Associate Editor for Frontiers of Computer Science.,
2026,May 2026,"Redha Gouicem and Erci Xu are co-chairing the SOSP'26 Doctoral Workshop (SysDW'26).",https://sysdw26.hotcrp.com/
2026,Apr. 2026,"Bingzhe Li and Erci Xu are co-chairing the FAST'27 Artifact Evaluation Committee.",
2026,Mar. 2026,TridentANN has been accepted to ISCA'26. Congratulations to Yuchen!,
2026,Mar. 2026,"Four papers have been accepted to OSDI'26, including three accepted and one conditionally accepted.",
2026,Feb. 2026,"Here, There and Everywhere won the Erik Riedel Best Paper Award at FAST'26.",
2025,Dec. 2025,One paper has been accepted by NSDI'26. Congrats to the team!,
2025,Dec. 2025,Four papers have been accepted by FAST'26. Congrats to the teams!,
2025,Nov. 2025,Erci Xu was invited to serve on Eurosys'27 PC.,
2025,Oct. 2025,Erci Xu received the CCF Technical Advancement Award.,
2025,Aug. 2025,Erci Xu received the CCF-IST Youth Innovation Award.,
