"Kratos: A Robust and Comprehensive Pipeline for Detecting Various Patterns of Disk Fail-Slow Behaviors at Scale",,"['Ruidan Li', 'Erci Xu (Corresponding)', 'Xikang Song', 'Kiran Srinivasan', 'Haryadi S. Gunawi']",2027.2,25th USENIX Conference on File and Storage Technologies.,FAST'27 (CCF-A),,,,,,
"A Few GPUs, A Whole Lotta Scale: Faithful LLM Training Emulation with CrystalLLM",,"['Shaoke Xi (Co-first)', 'ChonLam Lao (Co-first)', 'Boyi Jia (Co-first)', 'Jiaqi Gao (Corresponding)', 'Zhipeng Zhang', 'Jiamin Cao', 'Brian Sutioso', 'Erci Xu (Corresponding)', 'Minlan Yu', 'Kui Ren', 'Yong Li', 'Zhengping Qian', 'Ennan Zhai', 'Jingren Zhou']",2026.10,32nd Symposium on Operating Systems Principles,SOSP'26 (CCF-A),,,,,,
"Batched in Back: Characterizing and Optimizing Offline LLM Inference in Production with ACDC",,"['Leping Yang', 'Xue Li (Corresponding)', 'Kun Qian', 'Erci Xu (Corresponding)', 'Mingzhen Han', 'Haoran Zhu', 'Tao He', 'Zuolong Yin', 'Ennan Zhai', 'Wenyuan Yu', 'Jingren Zhou', 'Guangtao Xue']",2026.10,32nd Symposium on Operating Systems Principles,SOSP'26 (CCF-A),,,,,,
"Break on Through to the Other Side: Pooling Memory Elastically with RamRyder",,"['Yanbo Zhou', 'Erci Xu (Corresponding)', 'Dongjoo Seo', 'Adam Manzanares', 'Steven Swanson']",2026.6,20th USENIX Symposium on Operating Systems Design and Implementation,OSDI'26 (CCF-A),https://www.usenix.org/system/files/osdi26-zhou-yanbo.pdf,https://github.com/ramryder-project/ramryder,,,,https://www.usenix.org/conference/osdi26/presentation/zhou-yanbo
"The Clustering Strikes Back: Building Cost-Effective and High-Performance ANNS at Scale with Helmsman",,"['Yuchen Huang', 'Baiteng Ma', 'Yiping Sun', 'Yang Shi', 'Xiao Chen', 'Xiaocheng Zhong', 'Zhiyong Wang', 'Yao Hu', 'Erci Xu (Corresponding)', 'Chuliang Weng']",2026.6,20th USENIX Symposium on Operating Systems Design and Implementation,OSDI'26 (CCF-A),https://www.usenix.org/system/files/osdi26-huang-yuchen.pdf,,,,,https://www.usenix.org/conference/osdi26/presentation/huang-yuchen
"StriaTrace: Efficient Tracing and Diagnosis for Online LLM Inference",,"['Haonan Wu', 'Yanqing Chen', 'Kun Qian', 'Xue Li', 'Jingbo Xu', 'Erci Xu (Corresponding)', 'Ennan Zhai', 'Wenyuan Yu', 'Guangtao Xue', 'Jingren Zhou']",2026.6,20th USENIX Symposium on Operating Systems Design and Implementation,OSDI'26 (CCF-A),https://www.usenix.org/system/files/osdi26-wu-haonan.pdf,,,,,https://www.usenix.org/conference/osdi26/presentation/wu-haonan
"All Along the Watchtower: Achieving the Trinity of Observability in Cloud with DiTing",,"['Zhenyu Ren', 'Shuzhi Feng', 'Erci Xu (Corresponding)', 'Changsheng Niu', 'Haoyu Mao', 'Beibei Wang', 'Chong Gao', 'Zhenshan Zhang', 'Xinrui Yu', 'Jiangwei Huang', 'Jiesheng Wu', 'Hong Tang']",2026.6,20th USENIX Symposium on Operating Systems Design and Implementation,OSDI'26 (CCF-A),https://www.usenix.org/system/files/osdi26-ren.pdf,,,,,https://www.usenix.org/conference/osdi26/presentation/ren
"Come Hell or Still Water: Alleviating Tail Latency in Cloud Block Store",,"['Chaolei Hu', 'Kun Qian', 'Erci Xu (Corresponding)', 'Yifan Shen', 'Haoran Zhang', 'Xue Li', 'Yuesheng Gu', 'Lingjun Zhu', 'Fengyuan Ren (Corresponding)', 'Ennan Zhai']",2026.5,23rd USENIX Symposium on Networked Systems Design and Implementation,NSDI'26 (CCF-A),https://www.usenix.org/system/files/nsdi26-hu-chaolei.pdf,,https://tianchi.aliyun.com/dataset/219284,,,https://www.usenix.org/conference/nsdi26/presentation/hu-chaolei
"How Soon is Now? Preloading Images for Virtual Disks with ThinkAhead",,"['Xinqi Chen', 'Yu Zhang', 'Erci Xu (Corresponding)', 'Changhong Wang', 'Jifei Yi', 'Qiuping Wang', 'Shizhuo Sun', 'Zhongyu Wang', 'Haonan Wu', 'Junping Wu', 'Hailin Peng', 'Rong Liu', 'Yinhu Wang', 'Jiaji Zhu', 'Jiesheng Wu', 'Guangtao Xue', 'Patrick P. C. Lee']",2026.2,24th USENIX Conference on File and Storage Technologies.,FAST'26 (CCF-A),https://www.usenix.org/system/files/fast26-chen.pdf,https://github.com/Master-Chen-Xin-Qi/FAST26_AE,https://tianchi.aliyun.com/dataset/216164,https://www.usenix.org/system/files/fast26_slides_chen.pdf,,https://www.usenix.org/conference/fast26/presentation/chen
"MlsDisk: Trusted Block Storage for TEEs Based on Layered Secure Logging",,"['Erci Xu', 'Xinyi Yu', 'Lujia Yin', 'Xinyuan Luo', 'Shaowei Song', 'Qingsong Chen', 'Shoumeng Yan', 'Jiwu Shu', 'Hongliang Tian', 'Yiming Zhang (Corresponding)']",2026.2,24th USENIX Conference on File and Storage Technologies.,FAST'26 (CCF-A),https://www.usenix.org/system/files/fast26-xu.pdf,https://github.com/asterinas/mlsdisk,,https://www.usenix.org/system/files/fast26_slides_xu.pdf,,https://www.usenix.org/conference/fast26/presentation/xu
"""Range as a Key"" is the Key! Fast and Compact Cloud Block Store Index with RASK",,"['Haoru Zhao', 'Mingkai Dong (Corresponding)', 'Erci Xu (Corresponding)', 'Zhongyu Wang', 'Haibo Chen']",2026.2,24th USENIX Conference on File and Storage Technologies.,FAST'26 (CCF-A),https://www.usenix.org/system/files/fast26-zhao.pdf,https://ipads.se.sjtu.edu.cn:1312/opensource/rask-index,https://tianchi.aliyun.com/dataset/218875,https://www.usenix.org/system/files/fast26_slides_zhao.pdf,,https://www.usenix.org/conference/fast26/presentation/zhao
"Here, There and Everywhere: The Past, the Present and the Future of Local Storage in Cloud","Erik Riedel Best Paper Award","['Leping Yang', 'Yanbo Zhou', 'Gong Zeng', 'Li Zhang', 'Saisai Zhang', 'Ruilin Wu', 'Chaoyang Sun', 'Shiyi Luo', 'Wenrui Li', 'Keqiang Niu', 'Xiaolu Zhang', 'Junping Wu', 'Jiaji Zhu', 'Jiesheng Wu', 'Mariusz Barczak', 'Wayne Gao', 'Ruiming Lu', 'Erci Xu (Corresponding)', 'Guangtao Xue']",2026.2,24th USENIX Conference on File and Storage Technologies.,FAST'26 (CCF-A),https://www.usenix.org/system/files/fast26-yang.pdf,,,https://www.usenix.org/system/files/fast26_slides_yang.pdf,,https://www.usenix.org/conference/fast26/presentation/yang
Scheduling Cloud Block Storage Proactively and Reactively with Omar,,"['Xinqi Chen', 'Weidong Zhang', 'Zhongyu Wang', 'Erci Xu (Corresponding)', 'Xiaolu Zhang', 'Dong Wu', 'Junping Wu', 'Haonan Wu', 'Ruiming Lu', 'Yaheng Song', 'Chaolei Hu', 'Lijun Ding', 'Guangtao Xue', 'Patrick P.C. Lee']",2026.4,21st ACM European Conference on Computer Systems,Eurosys'26 (CCF-A),https://www.cse.cuhk.edu.hk/~pclee/www/pubs/eurosys26omar.pdf,,,,,https://doi.org/10.1145/3767295.3769341
"Sleeping with One Eye Open: Fast, Sustainable Storage with Sandman",,"['Yanbo Zhou', 'Erci Xu (Corresponding)', 'Anisa Su', 'Jim Harris', 'Adam Manzanares', 'Steven Swanson']",2025.10,31st Symposium on Operating Systems Principles,SOSP'25 (CCF-A),,,,,,https://dl.acm.org/doi/10.1145/3731569.3764804
"Evolving the Cloud Block Store with Performance, Elasticity, Availability, and Hardware Offloading",Invited,"['Erci Xu', 'Weidong Zhang', 'Qiuping Wang', 'Xiaolu Zhang', 'Yuesheng Gu', 'Zhenwei Lu', 'Tao Ouyang', 'Guanqun Dong', 'Wenwen Peng', 'Zhe Xu', 'Shuo Zhang', 'Dong Wu', 'Yilei Peng', 'Tianyun Wang', 'Haoran Zhang', 'Jiasheng Wang', 'Wenyuan Yan', 'Yuanyuan Dong', 'Wenhui Yao', 'Zhongjie Wu', 'Lingjun Zhu', 'Chao Shi', 'Yinhu Wang', 'Rong Liu', 'Junping Wu', 'Jiaji Zhu', 'Jiesheng Wu']",2025.2,ACM Transactions on Storage 21(2): 10:1-10:29,ToS'25,,,,,,https://doi.org/10.1145/3705925
"MasterPlan: A Reinforcement Learning Based Scheduler for Archive Storage",,"['Xinqi Chen', 'Erci Xu (Corresponding)', 'Dengyao Mo', 'Ruiming Lu', 'Haonan Wu', 'Dian Ding', 'Guangtao Xue']",2025.1,ACM Transactions on Architecture and Code Optimization 22(1): 27:1-27:25,TACO'25,,,,,,https://doi.org/10.1145/3708542
"Don't Maintain Twice, It's Alright: Merged Metadata Management in Deduplication File System with GogetaFS",Distinguished Artifacts Award,"['Yanqi Pan', 'Wen Xia (Corresponding)', 'Erci Xu (Corresponding)', 'Hao Huang', 'Xiangyu Zou', 'Shiyi Li']",2025.2,23rd USENIX Conference on File and Storage Technologies.,FAST'25 (CCF-A),https://www.usenix.org/system/files/fast25-pan.pdf,https://github.com/GogetaFS/,,https://www.usenix.org/system/files/fast25_slides-pan.pdf,https://youtu.be/tDsylWWOazY,https://www.usenix.org/conference/fast25/presentation/pan
AtomicDisk: A Secure Virtual Disk for TEEs against Eviction Attacks,,"['Hongliang Tian', 'Xinyi Yu', 'Shaowei Song', 'Qingsong Chen', 'Zhihao Zhang', 'Shiyu Wang', 'Weijie Liu', 'Erci Xu', 'Shoumeng Yan', 'Yiming Zhang']",2025.2,23rd USENIX Conference on File and Storage Technologies.,FAST'25 (CCF-A),https://www.usenix.org/system/files/fast25-tian-hongliang.pdf,,,https://www.usenix.org/system/files/fast25_slides-tian_hongliang.pdf,https://youtu.be/mylU8ezrDQg,https://www.usenix.org/conference/fast25/presentation/tian-hongliang
"Hey Hey, My My, Skewness Is Here to Stay: Challenges and Opportunities in Cloud Block Store Traffic",,"['Haonan Wu','Erci Xu (Corresponding)','Ligang Wang','Yuandong Hong','Changsheng Niu','Bo Shi','Lingjun Zhu','Jinnian He','Dong Wu','Weidong Zhang','Qiuping Wang','Changhong Wang','Xinqi Chen','Guangtao Xue','Yi-Chao Chen', 'Dian Ding']",2025.4,20th ACM European Conference on Computer Systems,Eurosys'25 (CCF-A),../static/papers/HeyHeyMyMy.pdf,https://github.com/Nan-Ge/eurosys25_ae,https://tianchi.aliyun.com/dataset/185310,,,https://doi.org/10.1145/3689031.3696068
"Ransom Access Memories: Achieving Practical Ransomware Protection in Cloud with DeftPunk",,"['Zhongyu Wang', 'Yaheng Song', 'Erci Xu (Corresponding)', 'Haonan Wu', 'Guangxun Tong', 'Haoran Li', 'Jincheng Liu', 'Lijun Ding', 'Rong Liu', 'Jiaji Zhu', 'Jiesheng Wu']",2024.6,18th USENIX Symposium on Operating Systems Design and Implementation,OSDI'24 (CCF-A),https://www.usenix.org/system/files/osdi24-wang-zhongyu.pdf,,https://tianchi.aliyun.com/dataset/177511?lang=en-us,https://www.usenix.org/system/files/osdi24_slides-wang-zhongyu.pdf,,https://www.usenix.org/conference/osdi24/presentation/wang-zhongyu
"CSAL: the Next-Gen Local Disks for the Cloud",,"['Yanbo Zhou', 'Erci Xu (Corresponding)', 'Li Zhang', 'Kapil Karkra', 'Mariusz Barczak', 'Wayne Gao', 'Wojciech Malikowski', 'Mateusz Kozlowski', 'Łukasz Łasek', 'Ruiming Lu', 'Feng Yang', 'Lilong Huang', 'Xiaolu Zhang', 'Wenrui Li', 'Jinhu Li', 'Keqiang Niu', 'Jiaji Zhu', 'Jiesheng Wu']",2024.4,19th ACM European Conference on Computer Systems,Eurosys'24 (CCF-A),,https://github.com/spdk/spdk,,../static/slides/Eurosys'24_CSAL.pdf,,https://dl.acm.org/doi/10.1145/3627703.3629566
"What's the Story in EBS Glory: Evolutions and Lessons in Building Cloud Block Store",Best Paper Award,"['Weidong Zhang', 'Erci Xu (Corresponding)', 'Qiuping Wang', 'Xiaolu Zhang', 'Yuesheng Gu', 'Zhenwei Lu', 'Tao Ouyang', 'Guanqun Dai', 'Wenwen Peng', 'Zhe Xu', 'Shuo Zhang', 'Dong Wu', 'Yilei Peng', 'Tianyun Wang', 'Haoming Zhang', 'Jiasheng Wang', 'Wenyuan Yan', 'Yuanyuan Dong', 'Wenhui Yao', 'Zhongjie Wu', 'Lingjun Zhu', 'Chao Shi', 'Yinhu Wang', 'Rong Liu', 'Junping Wu', 'Jiaji Zhu', 'Jiesheng Wu']",2024.2,22nd USENIX Conference on File and Storage Technologies.,FAST'24 (CCF-A),https://www.usenix.org/system/files/fast24-zhang-weidong.pdf,,,../static/slides/FAST24_EBS.pdf,https://www.youtube.com/watch?v=37X8vCuLDRg,https://www.usenix.org/conference/fast24/presentation/zhang-weidong
"Deploying User-space TCP at Cloud Scale with LUNA",,"['Lingjun Zhu', 'Yifan Shen', 'Erci Xu (Corresponding)', 'Bo Shi', 'Ting Fu', 'Shu Ma', 'Shuguang Chen', 'Zhongyu Wang', 'Haonan Wu', 'Zhendan Yang', 'Xingyu Liao', 'Wei Lin', 'Yijun Hou', 'Rong Liu', 'Chao Shi', 'Jiaji Zhu', 'Jiesheng Wu']",2023.6,2023 USENIX Annual Technical Conference,ATC'23 (CCF-A),https://www.usenix.org/system/files/atc23-zhu-lingjun.pdf,,,https://www.usenix.org/system/files/atc23_slides_zhu-lingjun.pdf,https://youtu.be/TK1vEDOopX4,https://www.usenix.org/conference/atc23/presentation/zhu-lingjun
"From Missteps to Milestones: A Journey to Practical Fail-Slow Detection",Invited,"['Ruiming Lu', 'Erci Xu', 'Yiming Zhang', 'Fengyi Zhu', 'Zhaosheng Zhu', 'Mengtian Wang', 'Zongpeng Zhu', 'Guangtao Xue', 'Jiwu Shu', 'Minglu Li', 'Jiesheng Wu']",2023.4,ACM Transactions on Storage 19(4): 33:1-33:28,ToS'23,,,,,,https://doi.org/10.1145/3617690
"Perseus: A Fail-Slow Detection Framework for Cloud Storage Systems",Best Paper Award,"['Ruiming Lu (Co-first)', 'Erci Xu (Co-first)', 'Yiming Zhang', 'Fengyi Zhu', 'Zhaosheng Zhu', 'Mengtian Wang', 'Zongpeng Zhu', 'Guangtao Xue', 'Jiwu Shu', 'Minglu Li', 'Jiesheng Wu']",2023.2,21st USENIX Conference on File and Storage Technologies.,FAST'23 (CCF-A),https://www.usenix.org/system/files/fast23-lu.pdf,,https://tianchi.aliyun.com/dataset/144479?lang=en-us,../static/slides/fast23_slides_extended.pdf,https://www.youtube.com/watch?v=DcDnrZY11Yw,https://www.usenix.org/conference/fast23/presentation/lu
"SMRSTORE: A Storage Engine for Cloud Object Storage on HM-SMR Drives",,"['Su Zhou', 'Erci Xu (Corresponding)', 'Hao Wu', 'Yu Du', 'Jiacheng Cui', 'Wanyu Fu', 'Chang Liu', 'Yingni Wang', 'Wenbo Wang', 'Shouqu Sun', 'Xianfei Wang', 'Bo Feng', 'Biyun Zhu', 'Xin Tong', 'Weikang Kong', 'Linyan Liu', 'Zhongjie Wu', 'Jinbo Wu', 'Qingchao Luo', 'Jiesheng Wu']",2023.2,21st USENIX Conference on File and Storage Technologies.,FAST'23 (CCF-A),https://www.usenix.org/system/files/fast23-zhou-su.pdf,,,../static/slides/fast23_smrstore.pdf,https://www.youtube.com/watch?v=b_iW94OQmbY,https://www.usenix.org/conference/fast23/presentation/zhou
"NVMe SSD Failures in the Field: the Fail-Stop and the Fail-Slow",,"['Ruiming Lu (Co-first)', 'Erci Xu (Co-first)', 'Yiming Zhang', 'Zhaosheng Zhu', 'Mengtian Wang', 'Zongpeng Zhu', 'Guangtao Xue', 'Minglu Li', 'Jiesheng Wu']",2022.6,2022 USENIX Annual Technical Conference,ATC'22 (CCF-A),https://www.usenix.org/system/files/atc22-lu.pdf,,https://tianchi.aliyun.com/dataset/128972,https://www.usenix.org/sites/default/files/conference/protected-files/atc22_slides_lu.pdf,https://youtu.be/wDS-CRyTDlA,https://www.usenix.org/conference/atc22/presentation/lu
